year,Terrain_Area_Share_Percent,Recorded_Slope_Failures,rainfall_mm,month_name,district,Season,Slope_Angle_Range_Degrees,Dominant_Failure_Mechanism,Soil type,Vegetation
2025,22.6,2,151.2,April,Gyalshing,Pre Mosoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Peak-blooming Himalayan Wet Temperate Forest
2025,7.8,1,151.2,April,Gyalshing,Pre Mosoon,>45,Rockfall / Topple,brown forest & laterite soil,Peak-blooming Himalayan Wet Temperate Forest
2025,13.5,1,316.8,August,Gyalshing,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Fully saturated Himalayan Wet Temperate Forest
2025,23.0,2,316.8,August,Gyalshing,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Fully saturated Himalayan Wet Temperate Forest
2025,33.1,5,316.8,August,Gyalshing,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Fully saturated Himalayan Wet Temperate Forest
2025,22.6,9,316.8,August,Gyalshing,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Fully saturated Himalayan Wet Temperate Forest
2025,7.8,2,316.8,August,Gyalshing,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Fully saturated Himalayan Wet Temperate Forest
2025,13.5,0,8.6,December,Gyalshing,Winter,0-15,Soil creep / Surface wash,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,23.0,0,8.6,December,Gyalshing,Winter,15-25,Rotational slump,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,33.1,0,8.6,December,Gyalshing,Winter,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,22.6,0,8.6,December,Gyalshing,Winter,35-45,Debris flow / Translational slide,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,7.8,0,8.6,December,Gyalshing,Winter,>45,Rockfall / Topple,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,13.5,0,41.8,February,Gyalshing,Winter,0-15,Soil creep / Surface wash,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,23.0,0,41.8,February,Gyalshing,Winter,15-25,Rotational slump,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,33.1,0,41.8,February,Gyalshing,Winter,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,22.6,0,41.8,February,Gyalshing,Winter,35-45,Debris flow / Translational slide,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,7.8,0,41.8,February,Gyalshing,Winter,>45,Rockfall / Topple,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,13.5,0,15.8,January,Gyalshing,Winter,0-15,Soil creep / Surface wash,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,23.0,0,15.8,January,Gyalshing,Winter,15-25,Rotational slump,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,33.1,0,15.8,January,Gyalshing,Winter,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,22.6,0,15.8,January,Gyalshing,Winter,35-45,Debris flow / Translational slide,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,7.8,0,15.8,January,Gyalshing,Winter,>45,Rockfall / Topple,brown forest & laterite soil,Winter-bound Himalayan Wet Temperate Forest
2025,13.5,1,367.2,July,Gyalshing,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Completely drenched Himalayan Wet Temperate Forest
2025,23.0,3,367.2,July,Gyalshing,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Completely drenched Himalayan Wet Temperate Forest
2025,33.1,7,367.2,July,Gyalshing,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Completely drenched Himalayan Wet Temperate Forest
2025,22.6,11,367.2,July,Gyalshing,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Completely drenched Himalayan Wet Temperate Forest
2025,7.8,3,367.2,July,Gyalshing,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Completely drenched Himalayan Wet Temperate Forest
2025,13.5,1,324.0,June,Gyalshing,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Saturated Himalayan Wet Temperate and Conifer Forest
2025,23.0,3,324.0,June,Gyalshing,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Saturated Himalayan Wet Temperate and Conifer Forest
2025,33.1,7,324.0,June,Gyalshing,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Saturated Himalayan Wet Temperate and Conifer Forest
2025,22.6,11,324.0,June,Gyalshing,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Saturated Himalayan Wet Temperate and Conifer Forest
2025,7.8,3,324.0,June,Gyalshing,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Saturated Himalayan Wet Temperate and Conifer Forest
2025,13.5,0,79.2,March,Gyalshing,Pre Mosoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Resurgent Himalayan Wet Temperate Forest
2025,23.0,0,79.2,March,Gyalshing,Pre Mosoon,15-25,Rotational slump,brown forest & laterite soil,Resurgent Himalayan Wet Temperate Forest
2025,33.1,1,79.2,March,Gyalshing,Pre Mosoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Resurgent Himalayan Wet Temperate Forest
2025,22.6,1,79.2,March,Gyalshing,Pre Mosoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Resurgent Himalayan Wet Temperate Forest
2025,7.8,0,79.2,March,Gyalshing,Pre Mosoon,>45,Rockfall / Topple,brown forest & laterite soil,Resurgent Himalayan Wet Temperate Forest
2025,13.5,0,259.2,May,Gyalshing,Pre Mosoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,23.0,1,259.2,May,Gyalshing,Pre Mosoon,15-25,Rotational slump,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,33.1,3,259.2,May,Gyalshing,Pre Mosoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,22.6,4,259.2,May,Gyalshing,Pre Mosoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,7.8,1,259.2,May,Gyalshing,Pre Mosoon,>45,Rockfall / Topple,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,13.5,0,18.0,November,Gyalshing,Post Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,23.0,0,18.0,November,Gyalshing,Post Monsoon,15-25,Rotational slump,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,33.1,0,18.0,November,Gyalshing,Post Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,22.6,0,18.0,November,Gyalshing,Post Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,7.8,0,18.0,November,Gyalshing,Post Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,13.5,0,86.4,October,Gyalshing,Post Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,23.0,0,86.4,October,Gyalshing,Post Monsoon,15-25,Rotational slump,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,33.1,1,86.4,October,Gyalshing,Post Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,22.6,1,86.4,October,Gyalshing,Post Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,7.8,0,86.4,October,Gyalshing,Post Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Crisp Himalayan Wet Temperate Forest
2025,13.5,0,252.0,September,Gyalshing,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,23.0,1,252.0,September,Gyalshing,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,33.1,3,252.0,September,Gyalshing,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,22.6,5,252.0,September,Gyalshing,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,7.8,1,252.0,September,Gyalshing,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Saturated Himalayan Wet Temperate Forest
2025,12.4,0,194.4,April,Mangan,Pre Mosoon,0-15,Soil creep / Surface wash,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,18.1,1,194.4,April,Mangan,Pre Mosoon,15-25,Rotational slump,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,27.5,2,194.4,April,Mangan,Pre Mosoon,25-35,Planar slide / Wedge failure,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,29.3,3,194.4,April,Mangan,Pre Mosoon,35-45,Debris flow / Translational slide,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,12.7,1,194.4,April,Mangan,Pre Mosoon,>45,Rockfall / Topple,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,12.4,1,403.2,August,Mangan,Monsoon,0-15,Soil creep / Surface wash,mountain & forest soil,"Lush, rain-soaked Alpine Scrub and Pastures"
2025,18.1,4,403.2,August,Mangan,Monsoon,15-25,Rotational slump,mountain & forest soil,"Lush, rain-soaked Alpine Scrub and Pastures"
2025,27.5,8,403.2,August,Mangan,Monsoon,25-35,Planar slide / Wedge failure,mountain & forest soil,"Lush, rain-soaked Alpine Scrub and Pastures"
2025,29.3,12,403.2,August,Mangan,Monsoon,35-45,Debris flow / Translational slide,mountain & forest soil,"Lush, rain-soaked Alpine Scrub and Pastures"
2025,12.7,3,403.2,August,Mangan,Monsoon,>45,Rockfall / Topple,mountain & forest soil,"Lush, rain-soaked Alpine Scrub and Pastures"
2025,12.4,0,13.0,December,Mangan,Winter,0-15,Soil creep / Surface wash,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,18.1,0,13.0,December,Mangan,Winter,15-25,Rotational slump,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,27.5,0,13.0,December,Mangan,Winter,25-35,Planar slide / Wedge failure,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,29.3,0,13.0,December,Mangan,Winter,35-45,Debris flow / Translational slide,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,12.7,0,13.0,December,Mangan,Winter,>45,Rockfall / Topple,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,12.4,0,59.0,February,Mangan,Winter,0-15,Soil creep / Surface wash,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,18.1,0,59.0,February,Mangan,Winter,15-25,Rotational slump,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,27.5,0,59.0,February,Mangan,Winter,25-35,Planar slide / Wedge failure,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,29.3,1,59.0,February,Mangan,Winter,35-45,Debris flow / Translational slide,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,12.7,0,59.0,February,Mangan,Winter,>45,Rockfall / Topple,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,12.4,0,24.5,January,Mangan,Winter,0-15,Soil creep / Surface wash,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,18.1,0,24.5,January,Mangan,Winter,15-25,Rotational slump,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,27.5,0,24.5,January,Mangan,Winter,25-35,Planar slide / Wedge failure,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,29.3,1,24.5,January,Mangan,Winter,35-45,Debris flow / Translational slide,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,12.7,0,24.5,January,Mangan,Winter,>45,Rockfall / Topple,mountain & forest soil,Frozen Alpine Scrub and Pastures
2025,12.4,2,460.8,July,Mangan,Monsoon,0-15,Soil creep / Surface wash,mountain & forest soil,High-elevation Alpine Scrub and Pastures
2025,18.1,5,460.8,July,Mangan,Monsoon,15-25,Rotational slump,mountain & forest soil,High-elevation Alpine Scrub and Pastures
2025,27.5,13,460.8,July,Mangan,Monsoon,25-35,Planar slide / Wedge failure,mountain & forest soil,High-elevation Alpine Scrub and Pastures
2025,29.3,21,460.8,July,Mangan,Monsoon,35-45,Debris flow / Translational slide,mountain & forest soil,High-elevation Alpine Scrub and Pastures
2025,12.7,5,460.8,July,Mangan,Monsoon,>45,Rockfall / Topple,mountain & forest soil,High-elevation Alpine Scrub and Pastures
2025,12.4,2,388.8,June,Mangan,Monsoon,0-15,Soil creep / Surface wash,mountain & forest soil,Rain-fed Alpine Scrub and Pastures
2025,18.1,4,388.8,June,Mangan,Monsoon,15-25,Rotational slump,mountain & forest soil,Rain-fed Alpine Scrub and Pastures
2025,27.5,11,388.8,June,Mangan,Monsoon,25-35,Planar slide / Wedge failure,mountain & forest soil,Rain-fed Alpine Scrub and Pastures
2025,29.3,17,388.8,June,Mangan,Monsoon,35-45,Debris flow / Translational slide,mountain & forest soil,Rain-fed Alpine Scrub and Pastures
2025,12.7,5,388.8,June,Mangan,Monsoon,>45,Rockfall / Topple,mountain & forest soil,Rain-fed Alpine Scrub and Pastures
2025,12.4,0,115.2,March,Mangan,Pre Mosoon,0-15,Soil creep / Surface wash,mountain & forest soil,Thawing Alpine Scrub and Pastures
2025,18.1,1,115.2,March,Mangan,Pre Mosoon,15-25,Rotational slump,mountain & forest soil,Thawing Alpine Scrub and Pastures
2025,27.5,1,115.2,March,Mangan,Pre Mosoon,25-35,Planar slide / Wedge failure,mountain & forest soil,Thawing Alpine Scrub and Pastures
2025,29.3,2,115.2,March,Mangan,Pre Mosoon,35-45,Debris flow / Translational slide,mountain & forest soil,Thawing Alpine Scrub and Pastures
2025,12.7,1,115.2,March,Mangan,Pre Mosoon,>45,Rockfall / Topple,mountain & forest soil,Thawing Alpine Scrub and Pastures
2025,12.4,1,302.4,May,Mangan,Pre Mosoon,0-15,Soil creep / Surface wash,mountain & forest soil,Snow-free Alpine Scrub and Pastures
2025,18.1,2,302.4,May,Mangan,Pre Mosoon,15-25,Rotational slump,mountain & forest soil,Snow-free Alpine Scrub and Pastures
2025,27.5,4,302.4,May,Mangan,Pre Mosoon,25-35,Planar slide / Wedge failure,mountain & forest soil,Snow-free Alpine Scrub and Pastures
2025,29.3,7,302.4,May,Mangan,Pre Mosoon,35-45,Debris flow / Translational slide,mountain & forest soil,Snow-free Alpine Scrub and Pastures
2025,12.7,2,302.4,May,Mangan,Pre Mosoon,>45,Rockfall / Topple,mountain & forest soil,Snow-free Alpine Scrub and Pastures
2025,12.4,0,21.6,November,Mangan,Post Monsoon,0-15,Soil creep / Surface wash,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,18.1,0,21.6,November,Mangan,Post Monsoon,15-25,Rotational slump,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,27.5,0,21.6,November,Mangan,Post Monsoon,25-35,Planar slide / Wedge failure,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,29.3,0,21.6,November,Mangan,Post Monsoon,35-45,Debris flow / Translational slide,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,12.7,0,21.6,November,Mangan,Post Monsoon,>45,Rockfall / Topple,mountain & forest soil,Freezing Alpine Scrub and Pastures
2025,12.4,0,108.0,October,Mangan,Post Monsoon,0-15,Soil creep / Surface wash,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,18.1,0,108.0,October,Mangan,Post Monsoon,15-25,Rotational slump,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,27.5,1,108.0,October,Mangan,Post Monsoon,25-35,Planar slide / Wedge failure,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,29.3,1,108.0,October,Mangan,Post Monsoon,35-45,Debris flow / Translational slide,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,12.7,0,108.0,October,Mangan,Post Monsoon,>45,Rockfall / Topple,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,12.4,1,309.6,September,Mangan,Monsoon,0-15,Soil creep / Surface wash,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,18.1,2,309.6,September,Mangan,Monsoon,15-25,Rotational slump,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,27.5,5,309.6,September,Mangan,Monsoon,25-35,Planar slide / Wedge failure,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,29.3,8,309.6,September,Mangan,Monsoon,35-45,Debris flow / Translational slide,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,12.7,2,309.6,September,Mangan,Monsoon,>45,Rockfall / Topple,mountain & forest soil,High-altitude Alpine Scrub and Pastures
2025,18.0,0,108.0,April,Namchi,Pre Mosoon,0-15,Soil creep / Surface wash,dry clay & red soil,Fully regenerated Tropical Semi-Evergreen Forest
2025,28.5,0,108.0,April,Namchi,Pre Mosoon,15-25,Rotational slump,dry clay & red soil,Fully regenerated Tropical Semi-Evergreen Forest
2025,30.2,1,108.0,April,Namchi,Pre Mosoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Fully regenerated Tropical Semi-Evergreen Forest
2025,17.1,2,108.0,April,Namchi,Pre Mosoon,35-45,Debris flow / Translational slide,dry clay & red soil,Fully regenerated Tropical Semi-Evergreen Forest
2025,6.2,0,108.0,April,Namchi,Pre Mosoon,>45,Rockfall / Topple,dry clay & red soil,Fully regenerated Tropical Semi-Evergreen Forest
2025,18.0,1,273.6,August,Namchi,Monsoon,0-15,Soil creep / Surface wash,dry clay & red soil,Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,2,273.6,August,Namchi,Monsoon,15-25,Rotational slump,dry clay & red soil,Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,4,273.6,August,Namchi,Monsoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,6,273.6,August,Namchi,Monsoon,35-45,Debris flow / Translational slide,dry clay & red soil,Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,2,273.6,August,Namchi,Monsoon,>45,Rockfall / Topple,dry clay & red soil,Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,0,7.2,December,Namchi,Winter,0-15,Soil creep / Surface wash,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
